name,age,last_login,watch_time,preferred_category,email
김수민,58,2025-04-30,13,드라마,ogsunjang@yuhanhoesa.kr
김재호,38,2025-04-01,215,영화,hyeonui@gmail.com
김영자,35,2025-04-27,109,애니메이션,yeongsugweon@daum.net
김준혁,61,2025-04-02,156,애니메이션,seomijeong@live.com
이재현,33,2025-04-29,16,영화,yeweongim@hanmail.net
민지혜,35,2025-04-08,238,드라마,oi@gimi.net
심재호,44,2025-04-05,49,예능,seonghyeoni@yu.org
류준서,38,2025-04-21,139,영화,minjae95@hanmail.net
이하은,23,2025-04-23,82,애니메이션,yeonghwangim@naver.com
이은경,55,2025-04-16,165,드라마,hyejingim@dreamwiz.com
김민석,29,2025-04-01,215,드라마,ycoe@coebaggim.kr
김정희,18,2025-04-19,13,영화,sangho62@dreamwiz.com
오정웅,55,2025-04-08,11,영화,munjaeho@jusighoesa.com
황옥자,29,2025-04-21,239,드라마,myeongsug15@gimgim.kr
김예지,23,2025-04-06,25,예능,seojunbag@yu.kr
김영철,26,2025-04-15,37,예능,junho57@gimgimi.kr
최경숙,49,2025-04-28,175,영화,minjaegim@gimgim.net
박정웅,57,2025-04-16,228,영화,eunseosong@hanmail.net
윤성현,29,2025-04-30,14,애니메이션,dmun@daum.net
서주원,44,2025-04-28,59,다큐멘터리,seunghyeonbag@yuhanhoesa.kr
유시우,44,2025-04-16,168,애니메이션,yunminseo@ju.kr
문지후,46,2025-04-22,96,다큐멘터리,ygim@naman.com
성현준,57,2025-04-24,134,애니메이션,seungmingim@gmail.com
정지아,47,2025-04-21,108,영화,coemyeongja@ju.com
김명자,62,2025-04-29,136,드라마,kgim@ju.kr
최숙자,38,2025-04-02,8,예능,yeongsugi@naver.com
장성민,43,2025-04-21,145,애니메이션,gimsujin@daum.net
김상훈,53,2025-04-03,153,드라마,yangjuweon@hotmail.com
정성민,37,2025-04-08,39,영화,caeweon12@gimgim.kr
이상철,28,2025-04-09,227,예능,yeongjago@dreamwiz.com
백광수,39,2025-04-19,11,예능,donghyeon52@naver.com
박정식,65,2025-04-14,207,예능,gimjiyeong@ju.kr
이경희,39,2025-04-29,25,영화,baeyeonggil@hanmail.net
이윤서,49,2025-04-24,145,다큐멘터리,caeweongim@hotmail.com
송춘자,42,2025-04-18,145,영화,ogsuni@songmunsong.com
한성훈,27,2025-04-27,112,다큐멘터리,dgim@ian.com
장승민,35,2025-04-13,192,예능,juyejun@live.com
홍순옥,26,2025-04-24,235,예능,yangyeongho@gimcoe.com
이은영,31,2025-04-22,162,영화,mbae@gimi.kr
박정희,43,2025-04-06,50,드라마,jinu59@janggim.com
장순옥,49,2025-04-10,218,예능,seunghyeonjang@live.com
배은정,52,2025-04-20,9,다큐멘터리,acoe@naver.com
이영환,39,2025-04-15,70,애니메이션,rbag@hanmail.net
안현주,29,2025-04-19,5,드라마,iyeongmi@gimgwag.com
김서연,23,2025-04-15,53,예능,gimgyeongja@yuhanhoesa.net
이민재,26,2025-04-04,55,애니메이션,hwangyeongsu@gimgimhong.kr
박영진,19,2025-04-03,228,예능,ugang@live.com
최하윤,45,2025-04-24,7,다큐멘터리,pgim@naver.com
박은정,32,2025-04-20,21,다큐멘터리,sgim@hanmail.net
이영철,31,2025-04-30,186,애니메이션,yeongsighan@ju.com
이서영,20,2025-04-15,178,다큐멘터리,lbae@gmail.com
권영미,37,2025-04-24,112,다큐멘터리,jaeho66@yuhanhoesa.kr
이정남,50,2025-04-19,100,드라마,jeongjaheo@gmail.com
최정숙,29,2025-04-22,18,애니메이션,dgim@ju.com
이정훈,46,2025-04-24,215,드라마,ogja64@daum.net
권광수,36,2025-04-29,240,영화,sunjahwang@gmail.com
하서연,41,2025-04-09,250,드라마,yeongilbag@jusighoesa.kr
신미영,28,2025-04-06,93,다큐멘터리,sangho04@iogim.net
김정자,34,2025-04-30,224,예능,anseoyeon@gmail.com
