name,age,last_login,watch_time,preferred_category,email
김수민,36,2025-04-21,249,드라마,seongmingim@example.net
김영자,54,2025-04-15,17,드라마,gimyeongil@example.net
김재호,32,2025-04-01,41,다큐멘터리,lgim@example.com
김지원,50,2025-04-30,175,드라마,ji@example.org
이미숙,52,2025-04-11,66,영화,ijeongho@example.com
서옥자,42,2025-04-27,38,애니메이션,sgim@example.net
문은경,60,2025-04-15,153,드라마,gimyeongsig@example.com
고채원,21,2025-04-18,40,영화,oi@example.com
이정남,21,2025-04-06,183,드라마,gangseongho@example.net
박서준,59,2025-04-21,19,영화,yeongsunhong@example.org
김성수,39,2025-04-07,220,애니메이션,minjae95@example.org
이하은,43,2025-04-27,69,예능,igim@example.org
박지아,24,2025-04-08,109,예능,zbae@example.com
엄영일,39,2025-04-21,70,예능,gweonjia@example.org
안영자,60,2025-04-19,98,다큐멘터리,iseonyeong@example.com
우지혜,55,2025-04-22,12,다큐멘터리,jangsangho@example.net
황순자,26,2025-04-30,215,애니메이션,jinu70@example.net
이예진,45,2025-04-10,45,영화,migyeonggim@example.net
윤우진,43,2025-04-11,164,애니메이션,junseogim@example.net
최예지,35,2025-04-26,182,애니메이션,namjiyeong@example.com
김영호,46,2025-04-27,31,다큐멘터리,gimgyeonghyi@example.org
박미정,48,2025-04-15,130,영화,kha@example.com
조현주,58,2025-04-07,137,애니메이션,yeeuni@example.net
이옥순,56,2025-04-30,87,영화,gimminsu@example.org
김서윤,35,2025-04-05,137,예능,ominsu@example.org
고명자,59,2025-04-01,15,영화,yejunbag@example.net
심영호,23,2025-04-15,241,예능,egim@example.com
김시우,60,2025-04-13,237,애니메이션,ui@example.org
나미숙,53,2025-04-26,23,드라마,zseo@example.org
김영길,46,2025-04-17,167,애니메이션,dgim@example.org
김지원,54,2025-04-12,191,다큐멘터리,gimhyejin@example.org
남지혜,37,2025-04-20,14,예능,jungsubag@example.com
김경숙,52,2025-04-10,140,영화,yi@example.com
한정웅,19,2025-04-01,153,애니메이션,sgim@example.org
최유진,53,2025-04-14,106,애니메이션,minseog97@example.net
박명숙,47,2025-04-29,142,영화,gominjae@example.org
김미영,47,2025-04-10,99,애니메이션,seoyungim@example.org
최영진,31,2025-04-13,100,예능,siu53@example.com
장성민,58,2025-04-04,249,예능,caeweon10@example.com
최미숙,43,2025-04-01,247,다큐멘터리,migyeonggim@example.com
양영미,62,2025-04-02,82,애니메이션,jinhojeong@example.com
민은지,63,2025-04-10,156,예능,jangboram@example.net
양상훈,51,2025-04-22,168,예능,seoseongjin@example.com
오서영,45,2025-04-15,244,애니메이션,migyeong40@example.org
류경희,19,2025-04-30,93,다큐멘터리,eungyeong42@example.net
한영호,31,2025-04-22,148,애니메이션,gimjiyeong@example.org
전은경,55,2025-04-07,243,영화,jinugim@example.com
안지혜,24,2025-04-11,97,예능,yeonggil31@example.com
손영순,40,2025-04-06,241,애니메이션,caeweongim@example.org
송춘자,56,2025-04-10,58,애니메이션,gimjihye@example.com
문지원,42,2025-04-23,71,애니메이션,seonghyeon16@example.org
김지은,33,2025-04-02,75,예능,yi@example.org
장승민,43,2025-04-24,26,예능,jia45@example.net
장지현,64,2025-04-28,85,다큐멘터리,cunja14@example.org
나경희,37,2025-04-13,103,다큐멘터리,yi@example.com
나민석,46,2025-04-06,167,애니메이션,yeongceolo@example.org
송정순,50,2025-04-14,165,예능,juweongim@example.net
강정숙,57,2025-04-12,110,영화,ojaeho@example.com
이정자,50,2025-04-16,207,애니메이션,seunghyeonjang@example.com
배은정,35,2025-04-16,167,드라마,jungsu04@example.com
안예준,24,2025-04-22,131,다큐멘터리,gyeongsug73@example.net
배주원,60,2025-04-21,243,드라마,areumi@example.net
이지은,55,2025-04-24,74,드라마,yeongsuggim@example.org
김현준,63,2025-04-09,158,드라마,bagjiu@example.net
한영식,18,2025-04-16,8,드라마,seongsuim@example.org
김지원,31,2025-04-12,182,예능,pgim@example.org
송정남,44,2025-04-20,186,예능,hayun79@example.net
이하윤,52,2025-04-24,158,영화,vbae@example.com
권준혁,50,2025-04-27,239,애니메이션,yunseo87@example.net
박정식,34,2025-04-29,196,다큐멘터리,yeonghwani@example.net
김성훈,55,2025-04-07,134,다큐멘터리,yeweongim@example.com
박도윤,40,2025-04-30,166,애니메이션,xi@example.net
김춘자,38,2025-04-05,157,영화,wbag@example.com
고현정,26,2025-04-17,164,애니메이션,vbag@example.net
배예지,27,2025-04-18,170,다큐멘터리,jinu06@example.com
안지민,27,2025-04-18,0,드라마,nheo@example.net
이영호,23,2025-04-05,146,예능,gimjihun@example.com
김성진,56,2025-04-24,169,다큐멘터리,wi@example.com
하승현,20,2025-04-10,75,예능,bagogja@example.org
이은지,18,2025-04-08,215,예능,gweonhayun@example.org
강서현,34,2025-04-24,233,영화,kjang@example.org
김성호,48,2025-04-06,72,드라마,hwangseonghyeon@example.com
김성수,43,2025-04-30,8,애니메이션,ti@example.org
한재현,27,2025-04-23,193,영화,hanjaeho@example.net
김현지,54,2025-04-11,104,영화,ijihun@example.com
윤건우,65,2025-04-15,41,영화,gryu@example.com
윤지은,28,2025-04-26,221,예능,jinuseo@example.net
송영철,24,2025-04-02,202,애니메이션,ubag@example.net
고준영,19,2025-04-13,226,애니메이션,ihyeonu@example.com
장순옥,41,2025-04-11,54,다큐멘터리,lgo@example.com
안성현,48,2025-04-01,165,예능,boram83@example.org
이영호,34,2025-04-29,167,영화,yeongjayun@example.com
김성민,50,2025-04-08,176,영화,than@example.net
박옥자,53,2025-04-04,245,드라마,jeom@example.com
박성수,21,2025-04-27,67,예능,sanghungim@example.org
하정순,26,2025-04-25,105,예능,yeongsubag@example.net
권은서,29,2025-04-27,43,다큐멘터리,jeonjaehyeon@example.com
김영진,57,2025-04-26,38,다큐멘터리,donghyeon08@example.com
김채원,35,2025-04-21,91,예능,agim@example.net
박성현,24,2025-04-05,87,예능,gimjia@example.org
이명자,31,2025-04-19,27,영화,gimeunji@example.com
김영호,53,2025-04-26,68,애니메이션,yjo@example.net
박영길,42,2025-04-12,214,다큐멘터리,li@example.com
강우진,22,2025-04-09,162,드라마,hayeonggil@example.org
김상호,54,2025-04-16,199,다큐멘터리,gimjungsu@example.net
이서현,40,2025-04-01,164,드라마,yeweon71@example.net
이주원,50,2025-04-10,215,영화,jihunjeong@example.net
이민수,51,2025-04-08,168,드라마,gimjeongnam@example.net
허영희,37,2025-04-26,5,다큐멘터리,shan@example.com
박예진,20,2025-04-02,21,예능,coejiu@example.net
김동현,61,2025-04-07,39,영화,eomyeongsug@example.com
권보람,21,2025-04-11,18,예능,lheo@example.net
송현우,64,2025-04-25,181,영화,vi@example.com
고순옥,55,2025-04-16,20,다큐멘터리,zi@example.net
김상훈,25,2025-04-11,241,다큐멘터리,jujunho@example.net
김채원,29,2025-04-21,148,애니메이션,mi@example.net
권재현,35,2025-04-22,137,다큐멘터리,gimminji@example.com
한민석,49,2025-04-02,47,영화,yeweoni@example.org
김혜진,20,2025-04-08,38,드라마,bagsanghun@example.org
오영일,58,2025-04-01,178,애니메이션,jihu77@example.org
김병철,35,2025-04-13,250,영화,jiai@example.com
안상훈,32,2025-04-22,154,다큐멘터리,ijaeho@example.net
장채원,48,2025-04-21,209,예능,wbag@example.com
정예원,24,2025-04-23,234,다큐멘터리,jiyeon39@example.com
황광수,53,2025-04-05,3,애니메이션,zhan@example.com
장준서,32,2025-04-24,212,영화,myeongsuggim@example.net
이미숙,43,2025-04-16,182,예능,dgim@example.org
이은지,26,2025-04-19,219,다큐멘터리,minjunhwang@example.com
한재호,23,2025-04-03,59,다큐멘터리,jimin86@example.com
손예지,41,2025-04-14,233,애니메이션,gangyeongil@example.net
엄지아,55,2025-04-05,133,드라마,wgu@example.net
김민지,58,2025-04-21,244,영화,jieun05@example.org
이민재,30,2025-04-27,148,애니메이션,ycoe@example.org
김준호,22,2025-04-22,65,다큐멘터리,myeongjacoe@example.org
김상훈,55,2025-04-12,208,드라마,baegyeongsug@example.com
김영희,58,2025-04-06,82,영화,hyeonji46@example.net
홍상철,19,2025-04-18,13,애니메이션,ggo@example.org
이성민,37,2025-04-22,134,드라마,gwangsu64@example.org
임지아,35,2025-04-13,163,애니메이션,baegogja@example.com
김지원,28,2025-04-25,120,예능,sunoggang@example.net
황정순,40,2025-04-29,2,드라마,sugjabae@example.net
안경수,53,2025-04-25,57,다큐멘터리,yejin14@example.com
